,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
132,36047017600,2.653404787,1.333333333,-0.270833333,-0.384615385,,0.170475908,0.064270905,0.049526332,-0.048384498,-0.008778173,0.028865058,-0.111131856,,
133,36047017700,1.502167013,0,0.074074074,-0.136986301,,,0.225936648,,,,,,,
134,36047017800,2.653387753,-0.523809524,-0.232876712,-0.234042553,,0.050134404,0.050890512,-0.002169937,0.004072114,-0.037602552,0.010128455,-0.090440705,0.047013118,-0.666666667
135,36047017900,1.404855824,-0.173913043,-0.148148148,-0.192307692,,0.014852721,0.184444773,0.034616307,0.20203713,0.018053375,0.074828684,-0.198258906,0.23850113,1
136,36047018000,2.653403352,0.5,-0.26,-0.266666667,,0.124337299,0.07533586,-0.009396311,0.221719061,0.049708912,0.016833685,-0.118470032,-0.015855831,-0.285714286
137,36047018100,1.404857857,-0.375,0.328571429,0.2,298,0.22235567,0.202323842,0.031249989,0.003299922,-0.000656599,0.012564456,-0.3749216,-0.180421186,0
138,36047018200,2.587760041,0.095238095,-0.08,-0.5,,0.104203421,0.071036957,-0.016111059,0.204359615,-0.008301548,0.04030456,-0.027417398,,0
139,36047018300,1.404848698,-0.071428571,-0.333333333,-0.244897959,,0.238423239,0.193738343,0.089896012,0.00459279,0.005723443,0.050615894,-0.182929059,-1,-0.428571429
140,36047018400,2.587745203,0.166666667,-0.086956522,-0.153846154,,0.126169077,0.117877646,0.065464505,-0.003569085,0.030882646,0.00423261,-0.015364907,0.271816564,
141,36047018501,1.404862835,0.126582278,0.062240664,-0.012987013,,0.206154973,0.264856635,0.056953357,0.315160568,-0.083231972,-0.006198615,-0.359184444,-0.131395222,1
142,36047018600,2.58772735,,-0.235294118,-0.1,,0.125244173,0.058070536,0.104729725,-0.027873745,-0.006939625,0.007405122,0.13926409,-0.098585286,
143,36047018700,1.404758797,0.307692308,0.078947368,0.346938776,,0.247210495,0.21124759,0.046975048,-0.10871049,0.151337629,-0.043448063,0.11875751,-0.003339929,1
144,36047018800,2.587745263,-0.444444444,0.019607843,-0.157894737,,0.131490712,0.099906564,-0.016672349,0.088428975,0.024413595,-0.023777914,-0.207937892,0.271226298,-0.5
145,36047019000,2.587734064,0,0.160493827,0.06779661,,0.13149863,0.15712821,-0.042072431,-0.052335372,0.013082396,-0.00935789,-0.019889707,-0.282780985,-0.333333333
146,36047019100,1.266432085,0.1,-0.05,-0.011111111,,0.302691252,0.146224262,-0.077877395,0.050857143,-0.002964218,-0.056090457,-0.226945409,0.44152629,-0.666666667
147,36047019200,2.980960407,0,0.011494253,-0.125,,0.108553419,0.288758558,0.032960628,0.023417442,-0.019939804,-0.053214918,-0.201333284,0.073804659,0.75
148,36047019300,1.266517802,-0.1,0.020408163,-0.073529412,,0.24181555,0.138638563,0.022565588,-0.011385164,0.006364922,0.01803494,-0.038928795,,0.5
149,36047019400,2.197048056,-0.041666667,0.196428571,0.176470588,,0.065913113,0.243590297,0.01373471,-0.141498991,0.081081081,-0.097721101,0.673193874,-0.096745995,-0.5
150,36047019500,1.266524313,0,-0.081632653,-0.236842105,,0.323597526,0.119438091,-0.072110732,-0.061802891,0.047236181,0.016651141,-0.112786653,,0
151,36047019600,2.196998671,-0.235294118,0.25,0.16,,0.119468541,0.200825346,-0.053906278,-0.160142202,0.022683859,-0.014229142,0.135607843,,-0.230769231
152,36047019700,1.26652167,-0.25,-0.038961039,-0.086956522,,0.257356963,0.179000445,0.035347736,0.058780634,0.001550388,-0.026526332,-0.337439131,,1
