,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
732,36047116800,5103.126883,26,97,50,,246.3538389,269.7469626,23.3931237,615.234892,753.7029279,138.4680359,25170.1436,36750,0.4281,45.13929619,0.053645117,0.005061461
733,36047117000,5452.188844,21,78,50,,233.6417776,244.4803296,10.838552,667.9479159,810.0902315,142.1423156,30022.94069,36813,0.4073,32.48120301,0.065616798,0
734,36047117201,4886.591704,22,68,43,,217.0270291,230.9882906,13.9612615,418.8963599,555.5982136,136.7018537,47629.6116,55594,0.4382,49.44852941,0.106402164,0
735,36047117202,5744.773904,17,62,38,,235.6804525,245.7280756,10.0476231,392.6747216,472.2127581,79.5380365,50101.72595,51157,0.4011,45.88302752,0.034217877,0.008552857
736,36047117400,8053.99232,18,144,87,,218.9373398,239.0247694,20.0874296,554.3008573,642.1162378,87.8153805,54158.08854,51891,0.4555,42.55984766,0.066083576,0
737,36047117601,5764.703822,9,62,35,,225.9098043,255.4390198,29.5292155,276.2037041,280.15133,3.9476259,54364.65659,46389,0.4387,40.83074534,0.092911218,0.006039415
738,36047117602,5441.011807,19,87,51,,206.4342533,230.7830488,24.3487955,256.4710322,259.5069152,3.035883,53277.0357,40020,0.4775,49.14233577,0.107457899,0.00274631
739,36047117800,5306.976569,12,71,40,,230.9431792,251.4350707,20.4918915,269.0203273,317.2104275,48.1901002,31983.13949,45536,0.5047,48.2942899,0.066939891,0
740,36047118000,28406.37499,15,121,67,,,,0,340.3818079,372.0234383,31.6416304,0,0,0,,,
741,36047118201,4782.116818,16,62,27,,236.7293036,259.1442426,22.414939,287.5427769,297.7372396,10.1944627,60698.8408,45147,0.4336,39.09516381,0.056998557,0.005819925
742,36047118202,4704.171527,10,65,43,,239.6059488,261.1387682,21.5328194,303.2470471,346.8161647,43.5691176,63872.13507,50962,0.5187,40.08536585,0.050036792,0
743,36047118400,7754.760116,28,108,65,,203.8579227,227.941976,24.0840533,273.0085465,299.5914512,26.5829047,69064.15629,51019,0.4302,42.00573698,0.06933439,0.002439482
744,36047118600,4976.841148,18,79,54,,230.7153359,257.1251978,26.4098619,293.3663752,298.9813841,5.6150089,48303.69837,41711,0.4799,43.20254507,0.07957814,0.007024793
745,36047118800,6597.835373,34,162,96,,204.573125,232.7395367,28.1664117,282.5966982,319.5738031,36.9771049,68725.12196,39773,0.4898,43.73280423,0.083412322,0
746,36047119000,5313.883899,33,68,51,,231.1608711,260.8852436,29.7243725,294.9275689,317.6858772,22.7583083,46703.49218,31563,0.4591,39.81578947,0.115766262,0.008366534
747,36047119200,8006.694051,33,102,58,,243.992903,273.4218904,29.4289874,482.1145639,569.2807061,87.1661422,37487.36235,43713,0.451,39.51802508,0.07487401,0.015403961
748,36047119400,6481.124255,56,170,106,,234.7358523,249.944434,15.2085817,374.9318094,437.6992909,62.7674815,56094.99296,31170,0.4696,41.11415168,0.123026316,0
749,36047119600,10868.34067,78,262,145,,221.4903009,239.1452304,17.6549295,265.7950952,312.0194094,46.2243142,43962.4035,30905,0.4995,43.35015136,0.064946619,0.00486476
750,36047119800,11586.74449,43,154,94,,216.6907584,228.0989295,11.4081711,538.3372345,660.8712813,122.5340468,25861.2149,27596,0.5213,44.19037199,0.106186519,0
751,36047120000,5335.776498,30,110,72,,210.4019263,229.8933858,19.4914595,467.1113567,514.7471703,47.6358136,40089.76391,32500,0.4242,48.66716867,0.146135266,0.007905138
752,36047120200,5790.997796,7,65,34,,227.6943834,263.6249544,35.930571,303.8294584,335.9605569,32.1310985,34148.48139,39485,0.4561,42.12804878,0.079781421,0.020759494
753,36047120800,17123.34334,108,314,193,,206.86538,231.7715938,24.9062138,482.9552435,580.3004259,97.3451824,47430.82911,36197,0.4557,45.66415313,0.114971257,0.007541995
754,36047121000,5696.283268,30,76,44,,,,0,574.0024691,652.7277778,78.7253087,66998.4268,18777,0.5244,44.67293907,0.171303075,0.008817046
755,36047121400,6032.895174,51,132,83,,,,0,233.2166375,306.1811718,72.9645343,70123.88584,21285,0.5513,43.0042735,0.13566879,0.008225878
756,36047122000,37711.99085,37,155,101,,207.28226,236.3513167,29.0690567,325.1124041,407.8212569,82.7088528,13948.01588,44930,0.5383,41.42532221,0.097440945,0.002056908
757,36047123700,80549.93663,28,180,108,,261.2012433,328.2102478,67.0090045,316.0895864,377.3870479,61.2974615,53273.02923,30528,0.4501,27.5607064,0.0385,0.01417004
758,36047150200,44806.73671,7,55,39,,563.159779,710.4671432,147.3073642,330.1268415,373.0404406,42.9135991,23251.36357,105188,0.4159,38.15389294,0.036646308,0.011844939
759,36047152200,51645.37527,23,135,75,,401.3038159,516.8522778,115.5484619,254.6405376,320.2611042,65.6205666,23218.52558,85147,0.4985,37.57069409,0.059588299,0.00636022
