,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Pop_Den_15,Median_Household_Income_15,Gini_Index_15,Ave_Commute_Min_15,Unemployed_rate_15,Moved_in_4years_15,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF
11,36047001800,159403.4472,30,197,108,,109.6296296,109.6296296,374.0355105,437.6251022,2251.472,,,,,0,2249.301785,0,0,,,0,-2.170215,0,0,0,0,0
12,36047002000,11929.60119,11,56,34,,268.7628546,308.3511655,352.2996025,402.7823853,22990.74,61023,0.3888,46,0.040927694,0.01035503,21259.71598,61635,0.3883,43.45535714,0.070512821,0,-1731.02402,612,-0.0005,-2.54464286,0.029585127,-0.01035503
13,36047002100,221130.2078,51,229,137,42,343.0189383,466.9892913,562.2109301,711.6822939,22492.85,208036,0.3931,33,0.05518917,0.015473888,24236.77046,211071,0.4205,33.07876849,0.062089356,0.030655628,1743.92046,3035,0.0274,0.07876849,0.006900186,0.01518174
14,36047002200,26638.81665,48,165,105,,272.9200144,305.2079006,345.2132971,405.8339727,37781.8,36563,0.5328,39,0.10459588,0.005969535,38352.15141,42083,0.5057,42.49069767,0.114429791,0.006484296,570.35141,5520,-0.0271,3.49069767,0.009833911,0.000514761
15,36047002300,82078.31336,36,176,108,,,,764.4938571,928.2634858,61788.02,19066,0.4825,50,0.265738499,0.005896226,62456.84124,18125,0.5138,53.55577689,0.307737056,0.006789979,668.82124,-941,0.0313,3.55577689,0.041998557,0.000893753
16,36047002901,40700.37963,66,191,105,,,,169.9385825,224.7302985,88220.4,17544,0.4379,42,0.23328877,0.00396376,101758.181,21226,0.4657,41.09208524,0.199049317,0.003436426,13537.781,3682,0.0278,-0.90791476,-0.034239453,-0.000527334
17,36047003000,7637.89513,8,42,20,,415.2687356,474.8336727,238.044565,244.8118447,42588.52,68958,0.4713,40,0.058949625,0.013616558,41454.98388,75208,0.4765,42.47093023,0.073145246,0.015177066,-1133.53612,6250,0.0052,2.47093023,0.014195621,0.001560508
18,36047003100,106615.6476,23,98,65,205,,,202.4051562,245.9845042,25483.36,69609,0.3538,27,0.10761347,0.016631281,25860.62642,76420,0.3572,30.39695946,0.099519561,0,377.26642,6811,0.0034,3.39695946,-0.008093909,-0.016631281
19,36047003300,60887.28887,42,196,112,586,728.5425538,832.7378022,242.1392949,287.1447003,49652.6,105642,0.4869,28,0.049496277,0,49872.79214,115509,0.4908,27.63145083,0.034482759,0,220.19214,9867,0.0039,-0.36854917,-0.015013518,0
20,36047003400,32536.25093,23,87,57,,434.2653339,502.1143612,223.2626617,220.0423204,16691.31,69848,0.4584,45,0.037217816,0,15543.02671,69042,0.466,44.97531735,0.044585987,0,-1148.28329,-806,0.0076,-0.02468265,0.007368171,0
21,36047003500,49184.07134,35,334,184,,601.1178243,729.4791355,284.0954019,318.6963422,30177.94,61525,0.4984,37,0.102725367,0,30937.26037,61450,0.5532,34.58118557,0.110294118,0.001274697,759.32037,-75,0.0548,-2.41881443,0.007568751,0.001274697
22,36047003600,8523.26767,18,41,26,,424.3032524,464.4396266,210.2230948,229.9848266,92134.13,74449,0.4503,46,0.071788413,0.002074689,89756.86845,73958,0.4597,45.56834885,0.050065303,0.002102804,-2377.26155,-491,0.0094,-0.43165115,-0.02172311,0.000028115
23,36047003700,70257.69804,106,282,171,,340.171608,403.6978352,685.2326507,873.1737442,16797.13,102386,0.432,30,0.054263566,0,18759.63083,128917,0.4109,30.98013245,0.038505096,0,1962.50083,26531,-0.0211,0.98013245,-0.01575847,0
24,36047003800,8644.261785,4,27,18,,440.6285901,484.4493806,241.0061044,265.2413754,30899.43,85950,0.3946,38,0.055147059,0,28991.8101,83056,0.4337,39.86801242,0.053835801,0,-1907.6199,-2894,0.0391,1.86801242,-0.001311258,0
25,36047003900,65748.65073,49,119,64,,539.6447864,678.3307546,1011.515089,1215.515365,40519.37,102981,0.4522,36,0.074299635,0,40568.88068,104783,0.4669,36.18201595,0.069387755,0.004103406,49.51068,1802,0.0147,0.18201595,-0.00491188,0.004103406
26,36047004100,67914.62971,19,56,37,,729.0235858,932.0995209,901.0363471,1105.154356,56589.75,112128,0.388,33,0.04494382,0.001990333,58396.14236,134722,0.4554,31.76919166,0.028921998,0.002763194,1806.39236,22594,0.0674,-1.23080834,-0.016021822,0.000772861
27,36047004300,69714.36948,18,101,60,128,652.9730197,863.006111,947.6484762,1175.96633,49703.82,112036,0.5337,32,0.051391863,0.004757374,50778.58129,125938,0.5065,30.57058534,0.052938724,0.006174745,1074.76129,13902,-0.0272,-1.42941466,0.001546861,0.001417371
28,36047004400,28447.21855,5,79,54,,611.7219965,681.9900722,276.3719512,270.7779834,14544.69,95341,0.4266,32,0.059919028,0.002488594,13553.00362,87583,0.4724,33.2778865,0.060735672,0,-991.68638,-7758,0.0458,1.2778865,0.000816644,-0.002488594
29,36047004500,64524.8287,5,61,28,,998.7700821,1232.578501,680.4782377,823.4978054,50391,138281,0.4635,32,0.036725664,0.005528256,52623.51137,136484,0.4459,31.9463807,0.029506685,0.016195524,2232.51137,-1797,-0.0176,-0.0536193,-0.007218979,0.010667268
